,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,TopPopsShop1,RT @TopPopsShop1: @Michael_T_Moore #Mercy #TriHealth #Murdered #Father #Catholic #Church #StarWars #Creator #My #Dad #Disney #Approved #Amb…,2022-03-27 20:59:36+00:00,"Blue Ash, OH",Twitter for iPhone,0,0,0,0
1,macintoshmoon,happy #WillSmith should win an #Oscar day 🎾 https://t.co/acnQndvbIj,2022-03-27 20:59:33+00:00,philly,Twitter for iPhone,0,0,0,0
2,oswal_986,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 20:59:26+00:00,Venezuela,Twitter for Android,0,0,0,0
3,TopPopsShop1,@Michael_T_Moore #Mercy #TriHealth #Murdered #Father #Catholic #Church #StarWars #Creator #My #Dad #Disney… https://t.co/TWyNnSvTWU,2022-03-27 20:59:25+00:00,"Blue Ash, OH",Twitter for iPhone,1,0,0,1
4,DiChristine,"RT @penguinpress: Congratulations to #Oscar-nominee #WillSmith on his role in @KingRichardFilm!  

Learn more about his amazing ride throug…",2022-03-27 20:57:49+00:00,,Twitter for iPhone,0,0,0,0
5,shinangovani,RT @shinangovani: “I have been thinking a fair bit about Smith's first dramatic role in Six Degrees of Separation…it is so good - and he is…,2022-03-27 20:56:51+00:00,toronto,Twitter for iPhone,0,0,0,0
6,Gyynaf,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 20:56:33+00:00,,Twitter for Android,0,0,0,0
7,iamdeeshields,"‘Best Actor’ #Oscars 
Who do you choose? #DenzelWashington or #WillSmith ?
It will be Will’s first and Denzel’s third.",2022-03-27 20:54:25+00:00,Colorado + Texas,Twitter for iPhone,0,0,0,0
8,tarizsuzsi1977,"My fav movie: King Richard!
#WillSmith #SerenaWilliams #VenusWilliams #bestmovie #Oscar #Oscars2022 https://t.co/t2sWki7agN",2022-03-27 20:53:51+00:00,,Twitter Web App,2,0,0,0
9,Granchi4,Ojalá yo lo amo desde siempre 😍!! #WillSmith https://t.co/GJLKR9rjMt,2022-03-27 20:53:16+00:00,Unión Latinocaribeña=GRANDEZA ,Twitter for Android,1,0,0,0
10,neuenegro,"RT @WMorales_BFTV: Best of luck to the Oscar nominees!
@willsmith #denzelwashington @aunjanuejlt @ArianaDeBose @questlove #stanleynelson #t…",2022-03-27 20:52:10+00:00,"Eagleton, Indiana",Twitter for iPhone,0,0,0,0
11,Marla82831521,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 20:51:39+00:00,,Twitter for Android,0,0,0,0
12,MinhalAli,"Was #WillSmith Nominated For Oscar?

Find out here: https://t.co/ah6rqjbK0f

#Willsmith #Oscars #Oscars2022… https://t.co/xb4MgCUE70",2022-03-27 20:50:43+00:00,,Twitter Web App,0,0,0,0
13,LIZZIENE50,"RT @JoseVteMartinez: “Algunas veces tendrás que olvidar lo que ya no está, apreciar lo que todavía tienes y mirar hacia adelante por lo que…",2022-03-27 20:50:30+00:00,MÉXICO,Twitter for Android,0,0,0,0
