,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,tanaglez1989,"RT @LuisCoronel83: La cara de incomodidad y molestia de Jada lo dice todo
#WillSmith #jadasmith https://t.co/qTRtddJQsL",2022-03-28 08:54:44+00:00,,Twitter for Android,0,0,0,0
1,OmarWilson,"RT @BSErecordings: https://t.co/fwNoRk6yYV
#Oscars #ChrisRock #JadaSmith #WillSmith I guess Chris Rock found out that Will Smith loves #Jad…",2022-03-28 08:53:20+00:00,WORLDWIDE,Twitter for Android,0,0,0,0
2,everythingbrand,"Our product offering really does smack our competitors in the face. 👊
With over 40,000 promotional items that can b… https://t.co/eYpZ6T1r8b",2022-03-28 08:52:28+00:00,Nationwide T: 0116 366 0052,Sprout Social,0,0,0,0
3,BSErecordings,"https://t.co/fwNoRk6yYV
#Oscars #ChrisRock #JadaSmith #WillSmith I guess Chris Rock found out that Will Smith loves… https://t.co/SI6VHZutl8",2022-03-28 08:52:05+00:00,Eastcoast,Twitter for Android,1,0,0,1
4,__famyys,RT @jaidchosesadire: Cette photo mérite d’être une cover d’un morceau comme NWTS  de Drake #JadaSmith #WillAndChris #WillSmith #jada https:…,2022-03-28 08:51:12+00:00,,Twitter for iPhone,0,0,0,0
5,mimisdaughter,Look how tightly #WillSmith and #JadaSmith are holding hands. We don't know what Jada's journey with #Alopecia is p… https://t.co/wwF8lVvhqc,2022-03-28 08:48:48+00:00,,Twitter for Android,6,1,0,1
6,bika380,"RT @TW_nextmedia: 威爾史密斯呼巴掌　不只警方要查！奧斯卡開口了：不饒恕暴力
#蘋果新聞網 #appledailytw #appledaily #奧斯卡金像獎 #ChrisRock #WillSmith #Oscars2022 #蘋果娛樂 #威爾史密斯 #Jad…",2022-03-28 08:47:57+00:00,,Twitter Web App,0,0,0,0
7,k0ukl1tsa,"At your highest moment... 🥵
#WillSmith #Hollywood #OscarsFanFavorite #oscar #OSCARS #RickyGervais #JadaPinkettSmith… https://t.co/HyQY06nAHe",2022-03-28 08:47:37+00:00,"Brugge, België",Twitter Web App,0,0,0,0
8,94Naeel,RT @jaidchosesadire: Cette photo mérite d’être une cover d’un morceau comme NWTS  de Drake #JadaSmith #WillAndChris #WillSmith #jada https:…,2022-03-28 08:40:58+00:00,Atlanta,Twitter for iPhone,0,0,0,0
9,AElmoasry,"تامر حسني لـ رضوى الشربيني: أخذت حق الرجالة والأخيرة تتوعده
#تامر_حسني 
#حق_الرجالة
#فورمولا1_في_السعودية… https://t.co/WwbVGhuWoO",2022-03-28 08:39:32+00:00,,Twitter Web App,1,0,0,0
10,iciKekeGaga,RT @jaidchosesadire: Cette photo mérite d’être une cover d’un morceau comme NWTS  de Drake #JadaSmith #WillAndChris #WillSmith #jada https:…,2022-03-28 08:37:43+00:00,Paris (75)Château-Thierry (02),Twitter for iPhone,0,0,0,0
11,Fiodor1976,"o'scarrafone 

#WillSmith #ChrisRock #Oscars #Oscar #Oscars2022 #ammuzzo #SmithvsRock #Jada #JadaPinkettSmith… https://t.co/rU7zrlE9ws",2022-03-28 08:37:00+00:00,altrove,Twitter Web App,5,0,1,0
12,johnwank123,RT @ELPEPIT4: Will smith qui nous explique pourquoi il est toujours marié à Jada smith alors qu’elle baise avec 25 mecs #Oscar #WillSmith #…,2022-03-28 08:36:20+00:00,,Twitter for Android,0,0,0,0
13,DePrimossofc,"@RealWillSmithFP congrats, fez o que todos nós gostaríamos de fazer 👏 tks 

 #respetc #slap #slapface #Oscars2022… https://t.co/AX7VD9aSAp",2022-03-28 08:35:59+00:00,"Rio de Janeiro, Brasil",Twitter for Android,0,0,0,0
14,kvntakintemoise,RT @jaidchosesadire: Cette photo mérite d’être une cover d’un morceau comme NWTS  de Drake #JadaSmith #WillAndChris #WillSmith #jada https:…,2022-03-28 08:35:17+00:00,"Paris, France",Twitter for iPhone,0,0,0,0
15,AElmoasry,"""المعايير المطورة ل #ضمان_الجودة و #الاعتماد_البرامجي ومتطلبات استيفائها"" د. أحمد محمد المعاصري منسق وحدة ضمان الجو… https://t.co/fLoNQgKDZS",2022-03-28 08:34:46+00:00,,Twitter Web App,1,0,0,0
16,richa_vriksh,"So #JadaSmith has medical condn being reason for her hair loss,#ChrisRock shouldn't have made that joke but… https://t.co/nxrXkOQCBa",2022-03-28 08:32:02+00:00,"UP/Delhi(NCR), India",Twitter for Android,1,0,1,0
17,Osadia_c01,"Poco quemamos, la verdad. Blanquean el acoso y la humillación, nos hacen tener miedo y no poder decir nada.  #JadaSmith we love you 💜",2022-03-28 08:28:39+00:00,"Madrid, Comunidad de Madrid",Twitter for Android,2,0,0,0
18,Sjoker8964,"RT @TW_nextmedia: 巴掌風波｜好萊塢湧罵聲譴責威爾史密斯施暴　名導轟「他根本瘋了」
#蘋果新聞網 #appledailytw #appledaily #奧斯卡金像獎 #ChrisRock #WillSmith #Oscars2022 #蘋果娛樂 #威爾史密斯 #…",2022-03-28 08:28:19+00:00,Hong Kong,Twitter Web App,0,0,0,0
19,QHQxoEtSLCL3PsQ,"RT @TW_nextmedia: 威爾史密斯呼巴掌　不只警方要查！奧斯卡開口了：不饒恕暴力
#蘋果新聞網 #appledailytw #appledaily #奧斯卡金像獎 #ChrisRock #WillSmith #Oscars2022 #蘋果娛樂 #威爾史密斯 #Jad…",2022-03-28 08:27:08+00:00,,Twitter for Android,0,0,0,0
20,ErikVeldman2,"@SkyNews #WillSmith is trending! Why? Because he acted concerned about his rap with his wife? My, my, even… https://t.co/7WfWOOtrc4",2022-03-28 08:26:59+00:00,Somewhere in Switzerland,Twitter Web App,0,0,0,0
21,AElmoasry,"شوماخر الصغير ينجو من حادث مميت في جدة
سادت حلبة سباقات الفورمولا 1، حالة من الرعب بعد اصطدام المتسابق الألماني ميك… https://t.co/tMlorJXl0F",2022-03-28 08:26:12+00:00,,Twitter Web App,1,0,0,0
22,ArkansasFley,"Everything is funny, until it happens to you.” - Dave Chappelle #WillSmith #Oscars2022 #JadaSmith",2022-03-28 08:25:55+00:00,,Twitter Web App,1,0,0,0
23,marthaikeji,"RT @wildcakesdream2: 8” cocomelon cake for handsome king David,the totally loved it. Please Twitterfam kindly help retweet let my potential…",2022-03-28 08:25:33+00:00,"Abuja, Nigeria",Twitter for Android,0,0,0,0
