,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,JWin802,"RT @TravelerDC1: @OccupyDemocrats Sorry, but I lost all respect for #WillSmith tonight. He laughed first, then saw his wife didn't like the…",2022-03-28 07:58:59+00:00,Vermont by way of Mattapoisett,Twitter for Android,0,0,0,0
1,drbc007,Mad props to @chrisrock for taking that slap in his stride - showed some class,2022-03-28 07:58:59+00:00,"England, United Kingdom",Twitter for iPhone,0,0,0,0
2,CGSahawneh,RT @pember_emily: @chrisrock is ableist and doesn’t have a right to be upset that his face met some consequences.,2022-03-28 07:58:59+00:00,In your imagination,Twitter for iPhone,0,0,0,0
3,Anarkii_,@lindyli @JeriLRyan Jada has a medical condition which is why she’s bald. @chrisrock should of asked them in privat… https://t.co/SaOjm8H6Zn,2022-03-28 07:58:58+00:00,"Gold Coast, Queensland",Twitter for iPhone,0,0,0,0
4,Mohit_Emkay,#WillSmith and #ChrisRock at #Oscars Was that real? #WillAndChris #willsmithchrisrock https://t.co/RZt0BxeHcM,2022-03-28 07:58:58+00:00,"Adelaide, Australia",Twitter for iPhone,0,0,0,0
5,karlkingov,So Will Smith wins the Oscar at last . While also reminding us why he didn’t win for playing Mohammed Ali… https://t.co/HkPyaQOTZS,2022-03-28 07:58:58+00:00,"Limerick, Ireland",Twitter for iPhone,8,0,0,0
6,xarol,@emilie_jackson4 @michaelrosenbum @chrisrock it was one slap. ive been beat worse by my sister &amp; it still wouldnt a… https://t.co/sxYCu9SZAH,2022-03-28 07:58:58+00:00,"Queens, NYC",Twitter for iPhone,1,0,0,0
7,okwuohq,"Five things that would happen to Chris Rock If Will Smith was an Igbo man.
#WillSmith  #ChrisRock  #Oscars… https://t.co/2KUAQVTeH9",2022-03-28 07:58:57+00:00,South East Nigeria,Twitter Web App,2,0,1,1
8,David_PUBLC,@UncleSkrooge Stars react to the incident at #Oscars2022 when #WillSmith slapped #ChrisRock over #JadaPinkettSmith… https://t.co/Cat4zmgTSp,2022-03-28 07:58:57+00:00,Singapore,Twitter Web App,0,0,0,0
9,moonknight02,"RT @ashchanchlani: Oscars 2022 Uncensored footage
#Oscars2022 #Oscars #WillSmith #ChrisRock https://t.co/PKYSjF3czI",2022-03-28 07:58:57+00:00,EARTH-50101,Twitter for Android,0,0,0,0
10,AppropriateMe,@chrisrock looks over at @rickygervais and says “Seriously?” #Oscars2022,2022-03-28 07:58:56+00:00,,Twitter for iPad,0,0,0,0
11,EnvyCheChi,@MargaretJosephs @chrisrock All I know I’m am so grateful I’m not Chris rock wife. Will smith would have gotten his… https://t.co/nCWIb4Ebh3,2022-03-28 07:58:56+00:00,,Twitter for iPhone,0,0,0,0
12,bogwod,RT @PPTVHD36: ผมรู้ ที่จะทำสิ่งที่เราทำอยู่ คือต้องรับการเหยียดหยามให้ได้ ต้องรับคำพูดบ้า ๆ จากคนอื่นได้ ในวงการนี้ คนอื่นดูหมิ่นคุณได้ และ…,2022-03-28 07:58:56+00:00,,Twitter for Android,0,0,0,0
13,Fai960609,RT @vp_offl: So you think it’s cool when #ChrisRock who thought it was “funny” to “joke” about the medical condition that #WillSmith’s wife…,2022-03-28 07:58:56+00:00,,Twitter for iPhone,0,0,0,0
14,R_Geeb,"RT @sebasblv: “Cuando estés en tu punto más alto, el diablo irá a buscarte” Denzel Washington 

El mejor actor de la historia y el mejor co…",2022-03-28 07:58:56+00:00,,Twitter Web App,0,0,0,0
15,weebdeluxe,RT @GalleyaSan: Gonna tell my kids that was #WillSmith vs #ChrisRock 😅 #Oscars https://t.co/PgahK8YDOZ,2022-03-28 07:58:56+00:00,Luxembourg,Twitter for Android,0,0,0,0
16,RoarStefan,RT @BlackStarDiva: Sorry to drag @rickygervais into this but his jokes at the Golden Globes were brutal. BRUTAL. No one slapped him because…,2022-03-28 07:58:55+00:00,,Twitter Web App,0,0,0,0
17,Migueln53227148,"RT @TheWatchTower3: Version no censurada del golpe de #WillSmith a #ChrisRock en los #Oscars 

https://t.co/Xrvy05VjHR",2022-03-28 07:58:54+00:00,"Maracena, España",Twitter for Android,0,0,0,0
18,CLiQ247,Where was the Simpsons episode for this distraction? #whatjusthappened #ChrisRock #AcademyAwards #Oscars2022… https://t.co/VHtAWfA9XG,2022-03-28 07:58:54+00:00,"SS Weston Rd, Toronto",Twitter for Android,0,0,0,0
19,stonkdiggler,"RT @Boabbysam: Comedy is dead.
#WillSmith assaulted a comedian because of a joke and then he plays victim.
Everything woke turns to shit, e…",2022-03-28 07:58:54+00:00,,Twitter for Android,0,0,0,0
20,aajoshi0607,"NO JOKES ON SOMEONE'S MEDICAL CONDITION! PERIOD

Such jokes not only trivialises the diseases but make patients aro… https://t.co/OlxnDvHuzR",2022-03-28 07:58:53+00:00,"Uttrakhand, India",Twitter for Android,0,0,0,0
21,AbeIndoria,RT @LukeySulz: We should remember that Jada was already pissed off. #ChrisRock best joke from 2020 was at her expense. #Oscars #AcademyAwar…,2022-03-28 07:58:53+00:00,,Twitter Web App,0,0,0,0
22,Gazerockisnoted,@bintangemon @chrisrock @willsmith Wkwk kalo gk paham jangan di bahas bang malu sumpah,2022-03-28 07:58:53+00:00,,Twitter for Android,0,0,0,0
23,RichardG007,@RealWillSmithFP be like to @chrisrock https://t.co/z4RlwIFouk,2022-03-28 07:58:53+00:00,,Twitter for iPhone,0,0,0,0
24,bombelli00,"RT @sebasblv: “Cuando estés en tu punto más alto, el diablo irá a buscarte” Denzel Washington 

El mejor actor de la historia y el mejor co…",2022-03-28 07:58:52+00:00,"Crema, Lombardia",Twitter for Android,0,0,0,0
25,themysticgenie9,RT @BlackStarDiva: Sorry to drag @rickygervais into this but his jokes at the Golden Globes were brutal. BRUTAL. No one slapped him because…,2022-03-28 07:58:51+00:00,,Twitter for Android,0,0,0,0
26,lyndajbowyer,"What @chrisrock said was wrong, but equally were the actions of #WillSmith. Personal, cutting insults on someone's… https://t.co/40kNh0BC6t",2022-03-28 07:58:51+00:00,,Twitter Web App,0,0,0,0
27,crimsontrigg48,"RT @CombatMatrix: Too soon??? 

#willsmith #cuck #jadapinketsmith #chrisrock #oscars2022 https://t.co/8EAi6vwYsc",2022-03-28 07:58:51+00:00,Everywhere and Nowhere,Twitter Web App,0,0,0,0
28,njg2312,RT @MargaretJosephs: Wow so disappointed in Will Smiths behavior tonight. @chrisrock is a class act he handled himself with true profession…,2022-03-28 07:58:51+00:00,South West Victoria,Twitter for iPhone,0,0,0,0
29,EWFM_Ltd,Last night might have been the best performance we have seen at the Oscars! #WillSmith #ChrisRock #Oscars2022 #Oscar #OscarsFanFavorite,2022-03-28 07:58:51+00:00,"Royston, England",Twitter Web App,2,0,0,0
30,technofeeliak,@chrisrock https://t.co/81ca1L9gZc,2022-03-28 07:58:50+00:00,"Montréal, Québec",Twitter Web App,0,0,0,0
31,mileyhbutler,RT @MattKnowsFacts: .#WillSmith owes an apology to #ChrisRock immediately #CancelWillSmith #Oscars #Oscars2022 https://t.co/1D3QUDpGMv,2022-03-28 07:58:50+00:00,Hollywood Ca.,Twitter for Android,0,0,0,0
32,FakeTomWhalen,Will Smith broke the simulation and by broke the simulation I mean slapped @chrisrock for a joke that some 33 year… https://t.co/4O6pKKe304,2022-03-28 07:58:49+00:00,"Hollywood, Los Angeles",Twitter for iPhone,0,0,0,0
33,AzbThe,#WillSmith #slap #ChrisRock for mocking #wife at #Oscar 2022! | #JadaPinkettSmith | #AmericanActor | #FilmProducer… https://t.co/ToTxumTyu7,2022-03-28 07:58:49+00:00,"Karachi, Pakistan",WordPress.com,0,0,0,0
