,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,buzzdotie,"US comedians have been weighing in on the incident and what it means for their profession #WillSmith #ChrisRock
https://t.co/rdFQPI95ew",2022-04-01 08:58:41+00:00,"Dublin, Ireland",TweetDeck,0,0,0,0
1,confidence4life,Chris Rock comments about Oscars slap for first time https://t.co/IrsGTlObSd Give over with such twaddle: 'processi… https://t.co/NJSYrCCBCz,2022-04-01 08:58:27+00:00,,Twitter Web App,0,0,0,0
2,JoBiddle3,@DiegoHernanVaz @Messi_Jordan1 @AdamSandler @chrisrock Nooooo 😳 they didn't 😂😂😂😂,2022-04-01 08:58:23+00:00,,Twitter for Android,0,0,0,0
3,pay_vast,"😂what overpriced cabs actually deserve 🚖
.
#vastpay #kab21 #Oscar #Whatjusthappened #WillsmithandChrisRock… https://t.co/uhStJ0jgws",2022-04-01 08:58:15+00:00,"Noida ,Uttar Pradesh ",Twitter for iPhone,2,0,1,0
4,9q9q9q9q9,"RT @PeteFighter: OK……. This one wins!!
#WillSmith #Oscars2022 #ChrisRock #StreetFighter 

By bruscopa (tiktok) https://t.co/3d3xn8MlUe",2022-04-01 08:57:28+00:00,,Twitter for iPhone,0,0,0,0
5,theRGK1,"@seanhayesmusic @CheriJacobus @chrisrock Let me ask, if @jadapsmith was your wife and @chrisrock, talented comedian… https://t.co/Y0dRM87zXT",2022-04-01 08:57:18+00:00,,Twitter for Android,0,0,0,0
6,EduardMDeLaRose,RT @EduardMDeLaRose: @TuckerCarlson @TMZ @NetflixIsAJoke @CNN @maddow @TYT @chrisrock @rupertmurdoch @Russia https://t.co/LA3nVsB28H,2022-04-01 08:56:55+00:00,,Twitter for iPhone,0,0,0,0
7,kmlwazo,Sous couvert « d’humour » ou de « second degrés » vous vous permettez beaucoup de choses… Jusqu’au jour où vous tom… https://t.co/muaKdrGOOW,2022-04-01 08:56:24+00:00,,Twitter for iPhone,1,0,0,0
8,BillSmitrovich,#LGM @MetsFansUnited1 @SNY_Mets @mets_therapy  FOR CHRIS @chrisrock https://t.co/LSl3HdUtAS,2022-04-01 08:56:19+00:00,"Los Angeles, CA",Twitter for iPhone,2,0,0,0
9,BlackSilk529,RT @EnterDaDome: Shout out to Chris Rock though. That's the Tweet.💪🏽✊🏼✌🏽#ChrisRock,2022-04-01 08:56:16+00:00,,Twitter for Android,0,0,0,0
10,moneycontrolcom,"Speaking to @BBC, @RishiSunak said the increasing potshots at his wife were not welcome.

Read about the matter 👇… https://t.co/76EH6m5WP1",2022-04-01 08:56:03+00:00,Mumbai,Twitter for iPhone,14,0,0,4
