,user,text,time,location,source,like_count,quote_count,reply_count,retweet_count
0,NitinVijan,@elonmusk #willsmith #iamlegend #chrisrock 😂 https://t.co/ukds027yki,2022-04-12 08:57:27+00:00,India,Twitter for iPhone,0,0,0,0
1,RevistaSOONCol,"Tras el escándalo que protagonizó el actor @willsmith y el comediante @chrisrock en  #LospremiosOscars, salió a la… https://t.co/RafZKdZh3b",2022-04-12 08:56:14+00:00,Barranquilla - Colombia,Twitter for Android,1,0,0,0
2,dapbet,"RT @whichbookieuk: Today’s EW LUCKY 15 from @WillSmith_2 is an all @ayrracecourse affair - take a look 👀 with @SkyBet 

https://t.co/v47Vz4…",2022-04-12 08:55:29+00:00,"Houghton-le-Spring, England",Twitter Web App,0,0,0,0
3,HARISH151192,#KingRichard - Absolutely mind-blowing. @willsmith deserves Oscar for this one. Kudos to the whole team. A must watch.,2022-04-12 08:55:14+00:00,Chennai,Twitter for Android,0,0,0,0
4,punisher_club_,#nftb #nftbuyer #nftbmarket #nftindonesia #NFTMint #NFTmarket #NFTpromotion #NFTPromoter #nft #WillSmith #NFTshill… https://t.co/N7dIc2wZnI,2022-04-12 08:54:44+00:00,"Mumbai, India",Twitter Web App,2,0,1,1
5,crollo1983,RT @jreentertain: Some of y’all want to slap that #eth #saitama #shiba back to the ATH like #willsmith smacked #ChrisRock,2022-04-12 08:52:33+00:00,,Twitter for iPhone,0,0,0,0
6,ace21grim,"RT @RealBoxing_2022: Get into ring and fight! 🥊
#OscarsAtHome #Oscars #willSmith #ChrisRock #Hollywood #will #willandchris #realboxing2",2022-04-12 08:51:09+00:00,,Twitter for Android,0,0,0,0
7,UmdaaDM,"Beware of body shaming (even in jokes) 
Lest be prepared for wills'slap #willsmith #willsmithmeme #willsmithassault… https://t.co/zTYVaGh0cm",2022-04-12 08:50:31+00:00,"Hyderabad, Telangana",Twitter Web App,1,0,0,0
8,protozoa2,RT @DarkCloudXERO: #ChrisRock #DARKCLOUDXERO #dippen #drawing #gpen #hatching #ink #Jojo #JojosBizzareAdventure #manga #screentone #slap #W…,2022-04-12 08:48:19+00:00,東京都 立川市,Twitter Web App,0,0,0,0
9,ChrisJo73477575,"RT @DillardVicki: Me, too! (Pun intended!) Watch how silent the n—- crowd who attacked #willsmith will be! 🤫",2022-04-12 08:47:33+00:00,,Twitter for Android,0,0,0,0
10,robertpayne556,@Capitan00teri @willsmith Did you change your pitch up though? https://t.co/Lop7WDcShr,2022-04-12 08:45:17+00:00,somewhere,Twitter for Android,1,0,1,0
11,LuisHitch,@willsmith 🫴🏼🙏🏼 https://t.co/aHdvJl2mum,2022-04-12 08:44:53+00:00,,Twitter for iPhone,0,0,0,0
12,JayBigGuy10,"RT @willsmith: I would have written this sometime in the spring of 2007. 

Thinking about this more, my assumption early on was that this w…",2022-04-12 08:40:54+00:00,Kiwiland,Twitter for Android,0,0,0,0
13,babyaurora012,RT @dustinnope: Will Smith Slap but it's A Stop Motion Animation. #fyp #dustinnope #claymotion #willsmith #willsmithslapschrisrock #willsmi…,2022-04-12 08:38:07+00:00,,Twitter Web App,0,0,0,0
14,JARWIS168,"ล่าสุดทุนแค่หลักร้อย
กำไร 10,836 บาท
แตกหนักจ่ายโบนัสง่ายไม่ล็อคโบนัสเกม

✅สมัครได้ด้วยตัวเอง 👇
👉… https://t.co/8kCBTyckAR",2022-04-12 08:36:48+00:00,,Twitter Web App,1,0,0,0
