,user,text,time,location,source,like_count,retweet_count
0,KevinWonder_13,"Save the date 🚩MARDI PROCHAIN 21H

#willsmith
#jadasmith
#CoupleGoals
#mariage
https://t.co/DSwg5v9uqx https://t.co/WkiluSqfGy",2022-04-22 18:22:29+00:00,"Lille, France",Twitter for Android,0,0
1,SENDINGMYTWEETS,"(1/2) https://t.co/0aMAtMTe4c

NBA fan:
I got much love &amp; respect @SHAQ #ShaquilleONeal   @NBAonTNT  &amp; his right to… https://t.co/fp7Z7pZP1o",2022-04-22 18:20:34+00:00,"Fuck YoMomma,Her backs blowned",Twitter for Android,0,1
2,CalFactCheck,"RT @Ribolivier: #jadasmith revealed she never wanted to #marry #willsmith? Watch out, here's the #Truth. #facts #FactCheck #FactChecking #U…",2022-04-22 17:15:05+00:00,"Los Angeles, CA",Cal Fact Check,0,5
3,Janbrys,"RT @Ribolivier: #jadasmith revealed she never wanted to #marry #willsmith? Watch out, here's the #Truth. #facts #FactCheck #FactChecking #U…",2022-04-22 16:49:50+00:00,Abidjan,LaCôtedIvoire,0,5
4,Janbrys,"RT @Ribolivier: 👩‍❤️‍👨 #jadasmith  a révélé qu'elle n'a jamais voulu épouser #willsmith? Attention, voici la #vérité 👇🏽
#facts #FactCheckin…",2022-04-22 16:49:45+00:00,Abidjan,LaCôtedIvoire,0,3
5,BWasexo,"RT @Ribolivier: #jadasmith revealed she never wanted to #marry #willsmith? Watch out, here's the #Truth. #facts #FactCheck #FactChecking #U…",2022-04-22 16:20:51+00:00,Dahomey,wasexo,0,5
6,BWasexo,"RT @Ribolivier: #jadasmith revealed she never wanted to #marry #willsmith? Watch out, here's the #Truth. #facts #FactCheck #FactChecking #U…",2022-04-22 16:20:51+00:00,Dahomey,wasexo,0,5
7,Le__botivoirien,"RT @Ribolivier: #jadasmith revealed she never wanted to #marry #willsmith? Watch out, here's the #Truth. #facts #FactCheck #FactChecking #U…",2022-04-22 16:20:32+00:00,Côte d'Ivoire,trees_of_civ,0,5
8,Ribolivier,"#jadasmith revealed she never wanted to #marry #willsmith? Watch out, here's the #Truth. #facts #FactCheck… https://t.co/0nBXsZWfNW",2022-04-22 16:20:27+00:00,,Twitter Web App,1,5
9,CalFactCheck,"RT @Ribolivier: 👩‍❤️‍👨 #jadasmith  a révélé qu'elle n'a jamais voulu épouser #willsmith? Attention, voici la #vérité 👇🏽
#facts #FactCheckin…",2022-04-22 16:15:23+00:00,"Los Angeles, CA",Cal Fact Check,0,3
10,Le__botivoirien,"RT @Ribolivier: 👩‍❤️‍👨 #jadasmith  a révélé qu'elle n'a jamais voulu épouser #willsmith? Attention, voici la #vérité 👇🏽
#facts #FactCheckin…",2022-04-22 16:14:54+00:00,Côte d'Ivoire,trees_of_civ,0,3
11,Ribolivier,"👩‍❤️‍👨 #jadasmith  a révélé qu'elle n'a jamais voulu épouser #willsmith? Attention, voici la #vérité 👇🏽
#facts… https://t.co/Dv9oyoQiRh",2022-04-22 16:14:49+00:00,,Twitter Web App,2,3
12,JoseASanchez98,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-22 10:33:05+00:00,"Lebrija, España",Twitter for Android,0,163
13,SPYit_official,"Will Smith e la moglie starebbero per divorziare, tutto a causa di quello schiaffo dato agli Oscar che non è piaciu… https://t.co/mz5YJh9jjA",2022-04-22 09:01:08+00:00,Italia,Twitter Web App,0,0
14,real13thhour,"The Thirteenth Hour | Last Week in Memes, Volume VI
https://t.co/deQpuZyE9t
#LeftCantMeme #Oscars #willsmithmeme… https://t.co/GWe5KzaBPU",2022-04-22 05:54:00+00:00,Canada,Twitter Web App,1,0
15,hjefsndlsjnkd,Only under the northern lights for u sir @LilTunechi @TheFloridaBoy @souljaboy #karatekid @willsmith @JadaSmith_98… https://t.co/g0EjEXDvMv,2022-04-22 04:56:37+00:00,,Twitter for iPhone,0,0
16,SigepRapattack,Thoughts? #amberheard #jadasmith https://t.co/KAqhhMK7k4,2022-04-22 04:39:14+00:00,C,Twitter for iPhone,0,0
17,elmoTD1,"زوجة ويل سميث ياخي
#jadasmith https://t.co/9ps6uUpOah",2022-04-22 04:11:17+00:00,,Twitter for Android,0,0
18,Pouchon504,"RT @lovelyti: Will and Jada Smith may be facing what’s being described as “one of the ugliest divorces in showbiz history”, according to re…",2022-04-22 03:03:28+00:00,,Twitter for Android,0,4
19,oncetreinta4,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-22 01:31:47+00:00,"Laredo, TX",Twitter for iPhone,0,163
20,RosySays89,"RT @lovelyti: Will and Jada Smith may be facing what’s being described as “one of the ugliest divorces in showbiz history”, according to re…",2022-04-22 00:44:37+00:00,"US: 35.269915,-120.662255",Twitter for Android,0,4
21,CometsMum,Smart woman. #JadaSmith #WillSmith #divorce https://t.co/HmHWiz8Iab,2022-04-21 21:39:05+00:00,Canada,Twitter for iPad,0,0
22,Snowmula,"RT @lovelyti: Will and Jada Smith may be facing what’s being described as “one of the ugliest divorces in showbiz history”, according to re…",2022-04-21 21:36:50+00:00,"New Jersey, USA",Twitter for iPhone,0,4
23,PrinceLegitTV,"Tiktok: Princelegittv
#JadaPinkettSmith #JadaPinketSmith #jadasmith #willsmithchrisrock #willsmith #ChrisRock… https://t.co/xJgN4VtkHy",2022-04-21 21:32:52+00:00,Canada,Twitter for iPhone,0,0
24,MariaEudaliaSa2,"RT @RevistaISTOE: #ISTOÉGENTE #JadaSmith, esposa de #WillSmith, disse que vai falar em breve  sobre o tapa que o ator americano deu no rost…",2022-04-21 21:13:22+00:00,,Twitter for Android,0,2
25,SKPopCulture,"Jada Pinkett addresses Oscars' incident in Red Table Talk return. Deets here ➡️ https://t.co/NPrLIRDaaT
. 
. 
.… https://t.co/UqbsqUAFRh",2022-04-21 21:11:24+00:00,United States,Twitter for Android,0,0
26,RevistaISTOE,"#ISTOÉGENTE #JadaSmith, esposa de #WillSmith, disse que vai falar em breve  sobre o tapa que o ator americano deu n… https://t.co/f6Hj5BKz8e",2022-04-21 20:58:01+00:00,"São Paulo, SP, Brasil",Twitter Web App,7,2
27,lovelyti,"Will and Jada Smith may be facing what’s being described as “one of the ugliest divorces in showbiz history”, accor… https://t.co/bf0MH9s017",2022-04-21 19:42:24+00:00,http://www.lovelyti.com,TweetDeck,29,4
28,tomboyforever20,"Ésta y #jadasmith, deberían tener su propio infierno. 
Nota: Y los dos pendejos que se dejaron, pues fue una decisi… https://t.co/23qhnhjLbJ",2022-04-21 18:50:40+00:00,México,Twitter for Android,0,0
29,ErikJetmir,"RT @ErikJetmir: Who is watching #JohnnyDepp cross-examination ? Wow! Damn playa. What does #AmberHeard him , #WillSmith and #JadaSmith have…",2022-04-21 15:55:57+00:00,"Harlem, New York",Twitter Web App,0,1
30,ErikJetmir,"Who is watching #JohnnyDepp cross-examination ? Wow! Damn playa. What does #AmberHeard him , #WillSmith and #JadaSmith have in common?",2022-04-21 15:46:43+00:00,"Harlem, New York",Twitter Web App,1,1
31,gomufernanda,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-21 07:27:42+00:00,,Twitter for iPhone,0,163
32,rocp098,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-21 06:50:30+00:00,monterrey mexico,Twitter for iPhone,0,163
33,kamiiiilu,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-21 04:51:39+00:00,,Twitter for Android,0,163
34,halljoy410,"#JadaSmith go ""heal"" your ANNOYING family in Private. 
We absolutely do not want to HEAR IT!",2022-04-21 04:34:17+00:00,"Georgetown, TX",Twitter for Android,2,0
35,al_al_thatsme,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-21 04:33:34+00:00,,Twitter for Android,0,163
36,ATamemi,#WillSmith felt guilty too that his relationship with #jadasmith failed and the trust was broken. Ben was so stubbo… https://t.co/RIo1qeKdqm,2022-04-21 03:21:53+00:00,Riyadh,Twitter Web App,0,0
37,AlvaroDuarT3,"Pregunta sería: a qué mujer odian más? 
RT #JadaSmith
FAV #AmberHeard",2022-04-21 01:12:47+00:00,"New Jersey, USA",Twitter for iPhone,0,0
38,Belen12616084,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-21 00:24:30+00:00,,Twitter Web App,0,163
39,Catheri29889272,"@OK_Magazine If #WillSmith  #JadaSmith 's marriage is on the rocks, it is not because of his behavior which was dis… https://t.co/n5NVRSqgVU",2022-04-20 23:28:55+00:00,California,Twitter for iPad,5,0
40,DominicanJonn,RT @DominicanJonn: @jadapsmith Protect our woman ALL 2022 ✊🏽 #jadapinkettsmith #jadapinkett #jadasmith #entanglementwithaugust https://t.co…,2022-04-20 23:27:02+00:00,"Worcester, MA",Twitter for iPhone,0,1
41,8888out8888,"..Ilah Morey
on April 20, 2022 12:24 am
You know what, I’m not understanding the punishment that Will Smith is rece… https://t.co/XXXqdU6DW4",2022-04-20 22:59:01+00:00,,Twitter Web App,0,0
42,AlmaJurez13,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-20 22:16:58+00:00,,Twitter for Android,0,163
43,Juanse1127,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-20 21:38:45+00:00,"Cali, Colombia",Twitter for iPhone,0,163
44,Cassandback,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-20 21:05:39+00:00,,Twitter for Android,0,163
45,s1m0nM3rcury,"@OK_Magazine #jadasmith strikes me as one vicious, brutal, nasty vindictive, controlling witch. Hope #Will makes it… https://t.co/jG5ZOr67sJ",2022-04-20 20:34:02+00:00,UK,Twitter for iPhone,0,0
46,GioHernandezM,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-20 19:13:16+00:00,"México, D.F.",Twitter for Android,0,163
47,ppmarquezmx,"RT @jorgeorrant3: Las #mujeres más odiadas del mundo

Amber #Heard: destruyó la carrera de Jhonny Deep con difamaciones y aparte lo engañó…",2022-04-20 18:36:48+00:00,,Twitter for iPhone,0,163
48,Robbiezombie,"""Will and Jada Smith could have ""one of the ugliest divorces Hollywood has seen"" is the quote. But to think it was… https://t.co/YGufyl0hLC",2022-04-20 15:03:18+00:00,New York area,Twitter Web App,4,1
49,ayokasystems,"Actors Will Smith and Jada Smith’s relationship might be on the rocks in light of Will’s actions at the Oscars, acc… https://t.co/suFuSpR1Nl",2022-04-20 14:30:30+00:00,"Arlington, TX",Twitter Web App,2,0
50,RitzDritz,Its no one's job to make @jadasmith_20 feel important...they say behind every great man is a great woman....not for… https://t.co/2GUIRhHofL,2022-04-20 14:22:44+00:00,"Ann Arbor, MI",Twitter Web App,0,0
51,the_moonshadow,"that sure wasnt worth a slap!

⚡️ #WillSmith  and #JadaSmith could have 'one of ugliest divorces in #showbiz histor… https://t.co/ae59yluwXl",2022-04-20 13:18:09+00:00,Maine,Twitter Web App,1,0
