,user,text,time,location,source,like_count,retweet_count
0,larepublica_pe,"RT @LRTendencias: 🎬 😕 Primero #Netflix y ahora #Disney: documental de #WillSmith suspendido tras agresión a #ChrisRock

Tras el incidente e…",2022-04-22 18:24:18+00:00,"Lima, Perú",Twitter Web App,0,1
1,Artemistllo,"RT @TheRealMelissaE: If Hollywood is going to go to such great lengths to cancel a Black man, who had a moment- one single slap, out in the…",2022-04-22 18:23:51+00:00,"Toronto, Ontario",Twitter Web App,0,3101
2,actor_annamalai,#KingRichardOnPrime - Super. Must watch. True inspiring life story. Great performances by #WillSmith as #Richard… https://t.co/p8OgEU1bJU,2022-04-22 18:22:49+00:00,India,Twitter for iPhone,0,0
3,AdetoroMph,#ChrisRock: Where was #WillSmith when #MeekMill was looking for a record deal? Now he’s crying at #RedTableTalks an… https://t.co/PHEyLOQ3JY,2022-04-22 18:22:40+00:00,"Princeton, NJ",Twitter for iPhone,0,0
4,KevinWonder_13,"Save the date 🚩MARDI PROCHAIN 21H

#willsmith
#jadasmith
#CoupleGoals
#mariage
https://t.co/DSwg5v9uqx https://t.co/WkiluSqfGy",2022-04-22 18:22:29+00:00,"Lille, France",Twitter for Android,0,0
5,SS11sidnaaz,"RT @mid_day: #ICYMI Top 10 #EntertainmentNews of the week: #WillSmith at #Oscars; #ShehnaazGill, #BTS’s #Jungkook respond trolls 

 https:/…",2022-04-22 18:20:41+00:00,Canada,Twitter for iPhone,0,352
6,SENDINGMYTWEETS,"(1/2) https://t.co/0aMAtMTe4c

NBA fan:
I got much love &amp; respect @SHAQ #ShaquilleONeal   @NBAonTNT  &amp; his right to… https://t.co/fp7Z7pZP1o",2022-04-22 18:20:34+00:00,"Fuck YoMomma,Her backs blowned",Twitter for Android,0,1
7,palermino_susan,"RT @JoleneErswrell: Right about now would be a good time to finally talk about toxic femininity.
#JohnnyDepp #WillSmith #Believeallvictims…",2022-04-22 18:16:51+00:00,,Twitter for Android,0,5
8,thinkMARCth1nk,"RT @TheRealMelissaE: If Hollywood is going to go to such great lengths to cancel a Black man, who had a moment- one single slap, out in the…",2022-04-22 18:16:51+00:00,Gotham,Twitter for iPhone,0,3101
9,KeiberQuintero1,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 18:15:47+00:00,,Twitter for Android,0,39
10,Sammykinsmhall,"RT @TheRealMelissaE: If Hollywood is going to go to such great lengths to cancel a Black man, who had a moment- one single slap, out in the…",2022-04-22 18:15:27+00:00,"Saco, ME",Twitter for iPhone,0,3101
11,ChuckTh53545155,@watchthatboyfly @willsmith will doesnt have orange hair bucket boy.... well.. this one does,2022-04-22 18:13:11+00:00,,Twitter Web App,0,0
12,Vintage_Pioneer,#willsmith #rap #remix by the #GOAT #Rapper Gettin #Riggy wit it #WillSmithAssault #willsmithchrisrock… https://t.co/01zmBXt3Xg,2022-04-22 18:10:44+00:00,"California, USA",Twitter for iPhone,1,0
13,Sunflow20762802,"RT @TheRealMelissaE: If Hollywood is going to go to such great lengths to cancel a Black man, who had a moment- one single slap, out in the…",2022-04-22 18:09:55+00:00,,Twitter for Android,0,3101
14,owis,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 18:08:54+00:00,Osorno,Twitter for iPhone,0,39
15,sidnaaz_lovers,"RT @mid_day: #ICYMI Top 10 #EntertainmentNews of the week: #WillSmith at #Oscars; #ShehnaazGill, #BTS’s #Jungkook respond trolls 

 https:/…",2022-04-22 18:08:24+00:00,India and  from my Home🏠🤭🤭,Twitter for Android,0,352
16,MAB_Sports,"We know episode 215 is out, but don’t forget about 212…
#earthday #earthmonth #nil #finalfour #willsmith… https://t.co/PpR5FL8Rvy",2022-04-22 18:07:54+00:00,MAB WORLD,Instagram,0,0
17,CarloTrejo,"RT @GabyMeza8: CONFIRMADO: #Netflix cancela sus planes sobre una secuela de #Bright, los productores aseguran que su cancelación no está re…",2022-04-22 18:07:46+00:00,Veracruz,Twitter for Android,0,39
